product_urls,Brand_Name,smart_phone,Colour,RAM,ROM,Primary_Camera,Secondary_Camera,Display_Size,Battery_Capacity,Prices
https://www.flipkart.com/oneplus-nord-gray-onyx-128-gb/p/itm3f93c90430130?pid=MOBFUE5HW4XUUGBN&lid=LSTMOBFUE5HW4XUUGBNRL8OX6&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&spotlightTagId=TrendingId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=c45f2f62-5926-4fbd-9c13-2ee8c735b78f.MOBFUE5HW4XUUGBN.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus Nord (Gray Onyx, 128 GB)  (8 GB RAM)",Smartphones,Gray Onyx,-,-,-,-,-,-,"₹24,999"
https://www.flipkart.com/oneplus-8-glacial-green-128-gb/p/itme3e11076fa5d3?pid=MOBFT3FJG3XZMWSC&lid=LSTMOBFT3FJG3XZMWSCTPDKKL&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&spotlightTagId=TrendingId_tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=c45f2f62-5926-4fbd-9c13-2ee8c735b78f.MOBFT3FJG3XZMWSC.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 8 (Glacial Green, 128 GB)  (6 GB RAM)",Smartphones,Glacial Green,-,-,-,-,-,-,"₹29,799"
https://www.flipkart.com/oneplus-nord-2-5g-gray-sierra-128-gb/p/itm056efc22a68bf?pid=MOBGHBNGRGM45GET&lid=LSTMOBGHBNGRGM45GETP7U1XB&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=c45f2f62-5926-4fbd-9c13-2ee8c735b78f.MOBGHBNGRGM45GET.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus Nord 2 5G (Gray Sierra, 128 GB)  (8 GB RAM)",Smartphones,Gray Sierra,-,-,-,-,-,-,"₹26,999"
https://www.flipkart.com/oneplus-11-5g-titan-black-256-gb/p/itm668119d115289?pid=MOBGMUH476DXG3ZY&lid=LSTMOBGMUH476DXG3ZYIZZ0OR&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=c45f2f62-5926-4fbd-9c13-2ee8c735b78f.MOBGMUH476DXG3ZY.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 11 5G (Titan Black, 256 GB)  (16 GB RAM)",Smartphones,Titan Black,-,-,-,-,-,-,"₹61,885"
https://www.flipkart.com/oneplus-11-5g-titan-black-128-gb/p/itm668119d115289?pid=MOBGMUGYNMCMR2AF&lid=LSTMOBGMUGYNMCMR2AFJCRCO5&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=c45f2f62-5926-4fbd-9c13-2ee8c735b78f.MOBGMUGYNMCMR2AF.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 11 5G (Titan Black, 128 GB)  (8 GB RAM)",Smartphones,Titan Black,-,-,-,-,-,-,"₹55,999"
https://www.flipkart.com/oneplus-10r-5g-forest-green-256-gb/p/itm6e7366aa0b25d?pid=MOBGHBZHNYJWY8JZ&lid=LSTMOBGHBZHNYJWY8JZ5GGPEF&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=c45f2f62-5926-4fbd-9c13-2ee8c735b78f.MOBGHBZHNYJWY8JZ.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 10R 5G (Forest Green, 256 GB)  (12 GB RAM)",Smartphones,Forest Green,-,-,-,-,-,-,"₹36,989"
https://www.flipkart.com/oneplus-10r-sierra-black-128-gb/p/itmb957905f2c3c0?pid=MOBGZKM5Z73VZ4VY&lid=LSTMOBGZKM5Z73VZ4VYCZK0UY&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=c45f2f62-5926-4fbd-9c13-2ee8c735b78f.MOBGZKM5Z73VZ4VY.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 10R (Sierra Black, 128 GB)  (8 GB RAM)",Smartphones,Sierra Black,-,-,-,-,-,-,"₹30,971"
https://www.flipkart.com/oneplus-11-5g-eternal-green-256-gb/p/itm668119d115289?pid=MOBGMUHCGYAU8WX6&lid=LSTMOBGMUHCGYAU8WX6WKM3T2&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=c45f2f62-5926-4fbd-9c13-2ee8c735b78f.MOBGMUHCGYAU8WX6.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 11 5G (Eternal Green, 256 GB)  (16 GB RAM)",Smartphones,Eternal Green,-,-,-,-,-,-,"₹61,999"
https://www.flipkart.com/oneplus-10t-5g-moonstone-black-256-gb/p/itm9a8677129b2bf?pid=MOBGHBNGWSNHGCE3&lid=LSTMOBGHBNGWSNHGCE33VPCAZ&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=c45f2f62-5926-4fbd-9c13-2ee8c735b78f.MOBGHBNGWSNHGCE3.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 10T 5G (Moonstone Black, 256 GB)  (12 GB RAM)",Smartphones,Moonstone Black,-,-,-,-,-,-,"₹54,999"
https://www.flipkart.com/oneplus-9-5g-arctic-sky-256-gb/p/itmc5d1c40d3c10e?pid=MOBGGA29YPYDAEFQ&lid=LSTMOBGGA29YPYDAEFQ07SVMG&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=c45f2f62-5926-4fbd-9c13-2ee8c735b78f.MOBGGA29YPYDAEFQ.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 9 5G (Arctic Sky, 256 GB)  (12 GB RAM)",Smartphones,Arctic Sky,-,-,-,-,-,-,"₹37,990"
